Unnamed: 0,고객ID,Duration,총과금액,평균과금액,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료,연령대,마지막과금일,최초과금일,평균유지기간(월),LTV2,Cluster,1년이후잔존확률,2년이후잔존확률
0,C-10001,,1755400,83590.47619,여성,37,Yes,No,0,2,Yes,신용카드,No,Yes,Yes,Yes,16,2020-04-01,2022-01-01,No,65,,2205,3,47910,30대,2021-12-01,2020-04-01 00:00:00,20.3,1696886.667,2,0.978705838,0.914686115
1,C-10002,,1447500,68928.57143,남성,46,No,No,0,0,No,신용카드,No,No,No,No,10,2020-04-01,2022-01-01,No,66,,5414,5,12090,40대,2021-12-01,2020-04-01 00:00:00,20.3,1399250,1,0.882278607,0.702579126
2,C-10003,123,490900,98180,남성,50,No,No,0,0,Yes,계좌이체,No,No,No,Yes,30,2020-10-01,2021-02-01,Yes,71,Competitor,4479,1,38080,50대,2021-02-01,2020-10-01 00:00:00,4.1,402538,0,0.052551984,0.049534348
3,C-10004,395,1578400,112742.8571,남성,78,Yes,No,0,1,Yes,계좌이체,No,Yes,No,Yes,4,2020-06-01,2021-07-01,Yes,99,Dissatisfaction,3714,1,31410,70대,2021-07-01,2020-06-01 00:00:00,13.16666667,1484447.619,0,0.804439863,0.388069614
4,C-10005,92,378000,94500,여성,75,Yes,No,0,3,Yes,신용카드,No,No,Yes,Yes,11,2021-07-01,2021-10-01,Yes,68,Dissatisfaction,3464,1,8360,70대,2021-10-01,2021-07-01 00:00:00,3.066666667,289800,0,0.265141863,0.253056275
5,C-10006,,1718900,81852.38095,여성,23,No,Yes,1,0,Yes,신용카드,No,No,Yes,Yes,73,2020-04-01,2022-01-01,No,55,,5108,3,0,20대,2021-12-01,2020-04-01 00:00:00,20.3,1661603.333,0,0.98983474,0.934976028
6,C-10007,,10744500,129451.8072,여성,67,Yes,No,0,1,Yes,계좌이체,Yes,Yes,Yes,Yes,14,2015-02-01,2022-01-01,No,26,,5011,3,11300,60대,2021-12-01,2015-02-01 00:00:00,83.16666667,10766075.3,2,1,1
7,C-10008,,7455600,99408,남성,52,Yes,No,0,8,Yes,신용카드,Yes,No,Yes,No,7,2015-10-01,2022-01-01,No,49,,4604,4,14690,50대,2021-12-01,2015-10-01 00:00:00,75.1,7465540.8,2,0.999166667,0.998333333
8,C-10009,,1098500,57815.78947,여성,68,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,21,2020-06-01,2022-01-01,No,34,,5525,3,11870,60대,2021-12-01,2020-06-01 00:00:00,18.26666667,1056101.754,0,0.769982705,0.574228763
9,C-10010,,8186200,106314.2857,여성,43,Yes,Yes,1,3,Yes,신용카드,Yes,Yes,Yes,Yes,14,2015-08-01,2022-01-01,No,25,,5509,3,32210,40대,2021-12-01,2015-08-01 00:00:00,77.13333333,8200375.238,2,1,1
